company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
Esri,esri.com,1969,Redlands,CA,us,92373,"1,001-5,000",Private,Geospatial/Mapping,"Subscriptions, Software licensing",
Estately,http://www.estately.com/,2007,Seattle,WA,us,98102,10-Jan,Private,Housing/Real Estate,Lead generation to other businesses,Business to Consumer
Everyday Health,http://www.everydayhealth.com,2002,New York,NY,us,10014,"501-1,000",Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Evidera,http://www.evidera.com,2013,Bethesda,MD,us,20814,201-500,Private,Healthcare,Not reported by company,Business to Business
Experian,http://www.experian.com,1980,Costa Mesa,CA,us,92626,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
"Expert Health Data Programming, Inc.",http://www.ehdp.com/,1997,Bellevue,WA,us,98005,10-Jan,Private,Healthcare,Software licensing,"Business to Business, Business to Government"
Exversion,https://exversion.com,2013,,NY,us,,10-Jan,Private,Data/Technology,User fees for web or mobile access,Business to Business
Ez-XBRL,ez-xbrl.com,2009,Manassas,VA,us,22701,51-200,Private,Finance & Investment,Software licensing,Business to Business
Factset,http://www.factset.com,1978,Norwalk,CT,us,6851,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Business
Factual,http://www.factual.com,2007,Los Angeles,CA,us,90067,51-200,Private,Data/Technology,"Advertising, Data analysis for clients, Database licensing, Subscriptions",Business to Business
Farmers,http://www.farmers.com,1928,Los Angeles,CA,us,90010,"10,001+",Public,Insurance,Not reported by company,"Business to Business, Business to Consumer"
FarmLogs,farmlogs.com,2011,Ann Arbor,MI,us,48104,Nov-50,Private,Food & Agriculture,"Subscriptions, User fees for web or mobile access",Business to Business
Fastcase,fastcase.com,1999,Washington,DC,us,20004,51-200,Private,Business & Legal Services,Subscriptions,Business to Business
Fidelity Investments,https://www.fidelity.com,1946,Boston,MA,us,2210,"10,001+",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
FindTheBest.com,http://www.findthebest.com,2010,Santa Barbara,CA,us,93108,51-200,Private,Lifestyle & Consumer,Advertising,Business to Consumer
First Fuel Software,http://firstfuel.com,2009,Lexington,MA,us,2420,51-200,Private,Energy,Not reported by company,"Business to Business, Business to Government"
"FirstPoint, Inc.",https://www.firstpointresources.com/,1941,Greensboro,NC,us,27401,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
Fitch,https://www.fitchratings.com/web/en/dynamic/fitch-home.jsp,1913,New York,NY,us,10004,"1,001-5,000",,Finance & Investment,Not reported by company,Business to Business
FlightAware,http://www.flightaware.com/,2005,Houston,TX,us,77046,51-200,Private,Transportation,Not reported by company,Business to Business
FlightStats,http://www.flightstats.com/,2005,Portland,OR,us,97204,51-200,Private,Transportation,Not reported by company,Business to Consumer
FlightView,http://www.flightview.com/,1981,Newton,MA,us,2458,Nov-50,Private,Transportation,Not reported by company,Business to Business
